layer_name,layer_type,params
conv5_block15_2_conv,Conv2D,36864
conv5_block15_concat,Concatenate,0
conv5_block16_0_bn,BatchNormalization,3968
conv5_block16_0_relu,Activation,0
conv5_block16_1_conv,Conv2D,126976
conv5_block16_1_bn,BatchNormalization,512
conv5_block16_1_relu,Activation,0
conv5_block16_2_conv,Conv2D,36864
conv5_block16_concat,Concatenate,0
bn,BatchNormalization,4096
relu,Activation,0
global_average_pooling2d,GlobalAveragePooling2D,0
dropout,Dropout,0
dense,Dense,9225
